EAN;Categoria;Marca;Modelo;Preço (€);"Diagonal do Ecrã ("")";Resolução;Frequência de Resposta (Hz);3D;Tempo de Resposta (ms);Contrast;Internet na TV;Conetividade Multidispositivos;Outros;Processador;Ligação Rede Wireless;Ligação Rede Ethernet;Nº de Entradas HDMI;Nº de Entradas USB;TDT;Entrada de PC;DLNA;Saída de Auscultadores;Entrada áudio;Altifalantes Integrados;Potência (W);Consumo em standby (W);Consumo de Energia (W);Consumo de Energia Anual (kWh);Eficiência Energética;Bloqueio para crianças;Temporizador On/Off;Picture-in-Picture;Cor;Ângulo de Visão ( ° );Tipo;Altura (cm);Largura (cm);Profundidade (cm)
8806086825467;Smart TV;Samsung;TV LED Smart TV Curvo 48'' SAMSUNG UE48J6300A;1099,00;48;Full HD;800;Não;2;Wide Color Enhancer Plus;Sim;Sim;NA;Quad Core;Integrada;Não;4;3;Sim;Sim;Sim;Sim;Sim;Sim;20;NA;65;90;A+;Sim;Sim;Sim;Preto;NA;LED;69.3;108.2;31
8806087583069;Smart TV;LG;TV LED FHD Smart TV 43'' LG 43LH570V;469,99;43;Full HD;100;Não;NA;NA;Sim;Telemóvel;NA;NA;NA;Sim;2;2;Sim;Não;Sim;Não;Sim;Sim;10;0.5;31;45;A++;Sim;Sim;Não;Preto;178;LED;63.3;97.6;21.8
8806087179941;Smart TV;LG;TV LED Smart TV 42'' LG 42LF5800;569,99;42;Full HD;100;Não;NA;Tru-Black Control;Sim;Miracast / Widi / WIFi Direct;Compatível Comando Magic;NA;Integrada;Sim;3;3;Sim;Não;Sim;Sim;Sim;Sim;20;0.3;52;76;A+;Sim;Sim;Não;Cinza Escuro;178;LED;60;96.1;21.8
8806087584639;Smart TV;LG;LED FHD SMART TV 49'' LG 49LH570V;619,99;49;Full HD;100;Não;NA;NA;Sim;Telemóvel;NA;NA;NA;Sim;2;2;Sim;Não;Sim;Não;Sim;Sim;10;0.5;36;53;A++;Sim;Sim;Não;Preto;178;LED;110.8;70.7;21.8
8718863002759;Smart TV;Philips;TV LED Smart TV FHD 40'' PHILIPS 40PFH5500/88;449,99;40;Full HD;200;Não;NA;Mega Contrast;Sim;Easylink;Digital Crystal Clear;Dual Core;Integrada;Sim;4;3;Sim;Sim;Não;Sim;Sim;Sim;20;0.3;40;58;A+;Não;Sim;Não;Preto;NA;LED;53.7;91.8;5.6
8718863002674;Smart TV;Philips;TV LED Smart TV FHD 48'' PHILIPS 48PFH5500/88;674,99;48;Full HD;100;Não;NA;Mega Contrast;Sim;Easylink;NA;NA;Integrada;Sim;4;3;Sim;Sim;Sim;Sim;Sim;Sim;20;0.5;48;70;A+;Não;Sim;Não;Preto;NA;LED;62.3;108.2;7.8
8718863002551;Smart TV;Philips;TV LED Smart TV FHD 55'' PHILIPS 55PFH5500/88;839,25;55;Full HD;200;Não;NA;Mega Contrast;Sim;Easylink;Android TV;Dual Core;Integrada;Sim;4;3;Sim;Sim;Sim;Sim;Sim;Sim;20;0.5;63;91;A+;Não;Sim;Não;Preto;NA;LED;72.6;123.9;7.9
4548736003521;Smart TV;Sony;TV LED Smart TV 32'' SONY KDL32R500;299,99;32;HD Ready;100;Não;NA;Advanced Contrast;Sim;WiFi, Screen Mirroring;1USB Play;Clear Resolution Enhancer;Integrada;Sim;2;1;Sim;Não;Sim;Não;Não;Sim;10;0.5;46;45;A+;Sim;Sim;Não;Preto;178;LED;47;73.8;15.1
4548736003538;Smart TV;Sony;TV LED Smart TV 40'' SONY KDL40R550C;399,49;40;Full HD;100;Não;NA;Advanced Contrast;Sim;WiFi, Smart TV;Amplificador digital S-Mas;Clear Resolution Enhancer;Integrada;Sim;2;1;Sim;Não;Sim;Sim;Não;Sim;10;0.5;58;63;A+;Não;Sim;Não;Preto;178;LED;58;16.6;102.2
4548736003545;Smart TV;Sony;TV LED Smart TV 48'' SONY KDL48R550C;503,99;48;Full HD;100;Não;NA;Advanced Contrast;Sim;WiFi, Smart TV;Amplificador digital S-Mas;Clear Resolution Enhancer;Integrada;Não;2;2;Sim;Não;Sim;Não;Não;Sim;10;0.4;74;67;A++;Não;Sim;Não;Preto;89;LED;67.2;108.9;20.1
5601988169847;Smart TV;Mitsai;TV LED Smart TV 32'' MITSAI 32VLSM14;289,99;32;HD Ready;50;Não;9;NA;Sim;Não;NA;Dual Core;NA;Sim;2;2;Sim;Sim;Sim;Sim;Não;Sim;NA;0.5;NA;NA;A;Sim;Não;Não;Preto;NA;LED;48.6;72.8;18.5
8806087456127;TV LED;LG;TV LED IPS 22'' LG 22MT47DC-PZ;169,99;22;Full HD;NA;Não;5;NA;Não;Não;NA;NA;NA;Não;1;1;Sim;Não;Não;Não;Não;Sim;10;0.4;22;32;A;Sim;Sim;Não;Preto;178;LED;35.97;50.76;13.58
8806087456219;TV LED;LG;TV LED 24'' LG 24MT47DC-PZ;189,99;24;HD Ready;NA;Não;5;NA;Não;Não;NA;NA;NA;Não;1;1;Sim;Não;Não;Não;Não;Sim;10;0.4;25;37;A;Sim;Sim;Não;Preto;178;LED;39.4;55.6;15.9
8806087456295;TV LED;LG;TV LED 28'' LG 28MT47DC-PZ;199,97;28;HD Ready;NA;Não;5;NA;Não;Não;NA;NA;NA;Não;1;1;Sim;Não;Não;Não;Não;Sim;10;0.4;23;33;A+;Sim;Sim;Não;Preto;178;LED;44.54;64.15;17.1
8806087582758;TV LED;LG;LED TV FHD 43'' LG 43LH510V;429,99;108;Full HD;100;Não;NA;NA;Não;Não;NA;NA;NA;Não;1;1;Sim;Não;Não;Não;Sim;Sim;10;0.3;35;51;A++;Sim;Sim;Não;Preto;178;LED;62.1;97.6;20.9
5601988242793;TV LED;Kunft;"TV LED HD 20"" KUNFT 20VLM16";129,99;51;HD Ready;50;Não;7;NA;Não;Não;NA;NA;NA;Não;1;1;Sim;Não;Não;Não;Não;Sim;5;0.9;14;NA;A+;Não;Não;Não;Preto;NA;LED;32.8;47.3;14.3
5601988242816;TV LED;Kunft;"TV LED HD 24"" KUNFT 24VLM16";159,99;61;HD Ready;50;Não;5;NA;Não;Não;SCART;NA;NA;Não;1;1;Sim;Não;Não;Não;Não;Sim;5;0.9;19;NA;A;Não;Não;Não;Preto;175;LED;38.2;56.2;13.4
5601988042560;TV LED;Kunft;"TV LED HD 24"" KUNFT 24VLM16 White";169,99;61;HD Ready;50;Não;5;NA;Não;Não;SCART;NA;NA;Não;1;1;Sim;Não;Não;Não;Não;Sim;5;0.9;19;NA;A+;Não;Não;Não;Branco;175;LED;38.2;56.2;13.4
5601988242823;TV LED;Kunft;"TV LED HD 32"" KUNFT 32VLM16";199,99;81;HD Ready;50;Não;5;NA;Não;Não;SCART;NA;NA;Não;1;1;Sim;Não;Não;Não;Não;Sim;4;0.9;19;NA;A;Não;Não;Não;Preto;175;LED;47.8;73.5;18.5
5601988242830;TV LED;Kunft;TV LED 40'' KUNFT 40VDLM16;299,90;102;Full HD;50;Não;5;NA;Não;Não;SCART;NA;NA;Não;2;1;Sim;Não;Não;Não;Não;Sim;16;0.9;63;NA;A;Não;Não;Não;Preto;175;LED;38.2;111.2;22
8806086746168;TV LED;Samsung;TV LED 24'' SAMSUNG LT24E310EW/EN;199,99;24;HD Ready;NA;Não;8;Mega Contrast;Não;Não;NA;NA;NA;Não;2;1;Sim;Sim;Não;Sim;Sim;Sim;10;0.5;35;36;A;Sim;Sim;Sim;Preto;178;LED;34;56.1;5.23
8806086897129;TV LED;Samsung;TV LED 32'' SAMSUNG UE32J4000;239,00;32;HD Ready;100;Não;5;NA;Não;Não;NA;NA;NA;Não;2;1;Sim;Sim;Não;Não;Sim;Sim;NA;0.2;28;40;A+;Sim;Sim;Não;Preto;178;LED;44.4;74.5;6.9
8806086897143;TV LED;Samsung;"TV LED FHD 32"" SAMSUNG UE32J5000";279,99;32;Full HD;200;Não;5;Mega Contrast;Não;Sim;NA;NA;NA;Não;2;1;Sim;Sim;Não;Sim;Sim;Sim;10;NA;28;40;A+;Sim;Sim;Sim;Preto;178;LED;43.6;74.1;6.9
8806086892117;TV LED;Samsung;TV LED 40'' SAMSUNG UE40J5100A;369,99;40;Full HD;NA;Não;5;Mega Contrast;Não;Não;NA;NA;NA;Não;2;1;Sim;Sim;Sim;Sim;Sim;Sim;20;NA;45;66;A+;Sim;Sim;Sim;Preto;178;LED;90.8;53.3;6.48
8586018081078;TV LED;Blaupunkt;TV LED HD 32'' BLAUPUNKT B32B148TCHD;239,99;32;HD Ready;50;Não;8;NA;Não;Não;NA;NA;NA;Não;3;1;Sim;Sim;Não;Sim;Sim;Sim;16;0.5;31;45;A+;Sim;Sim;Não;Preto;178;LED;44.3;73.9;8.1
8586018081726;TV LED;Blaupunkt;TV LED 49' BLAUPUNKT;399,49;49;Full HD;50;Não;8;Mega Contrast;Não;Não;NA;NA;NA;Não;3;2;Sim;Não;Não;Sim;Não;Sim;16;0.5;67;98;A+;Sim;Sim;Não;Preto;178;LED;70.1;111.3;9.3
5601988169847;TV LED;Blaupunkt;TV LED Smart TV 32'' MITSAI 32VLSM14;289,99;32;HD Ready;50;Não;9;Mega Contrast;Sim;Não;NA;Dual Core;NA;Sim;2;2;Sim;Sim;Sim;Sim;Não;Sim;NA;0.5;NA;NA;A;Sim;Não;Não;Preto;NA;LED;48.6;72.8;18.5
